REGIÃO;UF;DESTINATARIO;LOCALIDADE;ITEM;PROGRAMA DE SAÚDE;QUANTIDADE;STATUS;DATA DE ENTREGA
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;3.000;ENTREGA REALIZADA;28/01/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;10.000;ENTREGA REALIZADA;26/02/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;15.000;ENTREGA REALIZADA;05/03/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;28.500;ENTREGA REALIZADA;25/03/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;56.500;ENTREGA REALIZADA;04/04/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;50.000;ENTREGA REALIZADA;26/04/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;30.000;ENTREGA REALIZADA;13/05/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;5.000;ENTREGA REALIZADA;28/01/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;5.000;ENTREGA REALIZADA;25/03/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;40.500;ENTREGA REALIZADA;13/04/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;6.200;ENTREGA REALIZADA;28/01/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;6.000;ENTREGA REALIZADA;26/02/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;3.000;ENTREGA REALIZADA;05/03/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;5.930;ENTREGA REALIZADA;25/03/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;6.500;ENTREGA REALIZADA;04/04/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;15.500;ENTREGA REALIZADA;13/04/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;20.000;ENTREGA REALIZADA;26/04/2020
NORDESTE;CEARÁ;SES;CEARÁ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;60.000;ENTREGA REALIZADA;07/05/2020
NORDESTE;CEARÁ;SES;CEARÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;40.000;ENTREGA REALIZADA;28/03/2020
NORDESTE;CEARÁ;SES;CEARÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;60.000;ENTREGA REALIZADA;24/04/2020
NORDESTE;CEARÁ;SES;CEARÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;202.000;ENTREGA REALIZADA;02/05/2020
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;14.000;ENTREGA REALIZADA;25/06/2020
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;5.500;ENTREGA REALIZADA;22/01/2020
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;7.500;ENTREGA REALIZADA;24/02/2020
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;20.000;ENTREGA REALIZADA;23/04/2020
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;5.000;ENTREGA REALIZADA;22/01/2020
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;3.500;ENTREGA REALIZADA;24/02/2020
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;3.020;ENTREGA REALIZADA;20/01/2020
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;4.440;ENTREGA REALIZADA;23/03/2020
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;6.000;ENTREGA REALIZADA;23/04/2020
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;15.500;ENTREGA REALIZADA;03/08/2020
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;32.000;ENTREGA REALIZADA;29/03/2020
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;19.000;ENTREGA REALIZADA;22/04/2020
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;21.000;ENTREGA REALIZADA;04/05/2020
SUDESTE;ESPÍRITO SANTO;SMS;VITÓRIA;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;15.000;ENTREGA REALIZADA;29/06/2020
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;55.000;ENTREGA REALIZADA;26/06/2020
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;3.500;ENTREGA REALIZADA;20/01/2020
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;9.000;ENTREGA REALIZADA;23/03/2020
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;21.000;ENTREGA REALIZADA;02/04/2020
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;40.000;ENTREGA REALIZADA;08/05/2020
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;3.500;ENTREGA REALIZADA;20/01/2020
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;2.000;ENTREGA REALIZADA;23/03/2020
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;5.000;ENTREGA REALIZADA;13/04/2020
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;2.900;ENTREGA REALIZADA;20/01/2020
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;4.250;ENTREGA REALIZADA;23/03/2020
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;5.750;ENTREGA REALIZADA;02/04/2020
SUDESTE;ESPÍRITO SANTO;SES;VITÓRIA;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;20.000;ENTREGA REALIZADA;08/05/2020
SUDESTE;ESPÍRITO SANTO;SMS;VITÓRIA;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;500;ENTREGA REALIZADA;05/08/2020
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;40.000;ENTREGA REALIZADA;17/07/2020
SUDESTE;ESPÍRITO SANTO;SMS;VITÓRIA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;54.000;ENTREGA REALIZADA;17/07/2020
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;8.000;ENTREGA REALIZADA;28/03/2020
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;14.000;ENTREGA REALIZADA;22/04/2020
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;56.000;ENTREGA REALIZADA;04/05/2020
CENTRO-OESTE;GOIÁS;SES;GOIÁS;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;15.000;ENTREGA REALIZADA ;03/08/2020
CENTRO-OESTE;GOIÁS;SES;GOIÁS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;45.000;ENTREGA REALIZADA ;03/08/2020
CENTRO-OESTE;GOIÁS;SMS;GOIÂNIA ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;500;ENTREGA REALIZADA;11/08/2020
CENTRO-OESTE;GOIÁS;SMS;GOIÂNIA ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;6.000;ENTREGA REALIZADA;11/08/2020
CENTRO-OESTE;GOIÁS;SMS;GOIÂNIA ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;7.500;ENTREGA REALIZADA;26/06/2020
CENTRO-OESTE;GOIÁS;SES;GOIÁS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;14.500;ENTREGA REALIZADA;26/06/2020
CENTRO-OESTE;GOIÁS;SES;GOIÁS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;8.000;ENTREGA REALIZADA;22/01/2020
CENTRO-OESTE;GOIÁS;SES;GOIÁS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;13.000;ENTREGA REALIZADA;23/03/2020
CENTRO-OESTE;GOIÁS;SES;GOIÁS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;7.000;ENTREGA REALIZADA;27/04/2020
CENTRO-OESTE;GOIÁS;SES;GOIÁS;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;5.000;ENTREGA REALIZADA;20/01/2020
CENTRO-OESTE;GOIÁS;SES;GOIÁS;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;3.500;ENTREGA REALIZADA;23/03/2020
CENTRO-OESTE;GOIÁS;SMS;GOIÂNIA ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;1.000;ENTREGA REALIZADA;26/06/2020
CENTRO-OESTE;GOIÁS;SES;GOIÁS;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;2.880;ENTREGA REALIZADA;26/06/2020
CENTRO-OESTE;GOIÁS;SES;GOIÁS;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;4.060;ENTREGA REALIZADA;22/01/2020
CENTRO-OESTE;GOIÁS;SES;GOIÁS;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;5.590;ENTREGA REALIZADA;24/02/2020
CENTRO-OESTE;GOIÁS;SES;GOIÁS;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;4.000;ENTREGA REALIZADA;27/04/2020
CENTRO-OESTE;GOIÁS;SES;GOIÁS;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;25.000;ENTREGA REALIZADA;20/07/2020
CENTRO-OESTE;GOIÁS;SES;GOIÁS;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;6.000;ENTREGA REALIZADA;30/03/2020
CENTRO-OESTE;GOIÁS;SES;GOIÁS;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;8.000;ENTREGA REALIZADA;21/04/2020
CENTRO-OESTE;GOIÁS;SES;GOIÁS;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;15.000;ENTREGA REALIZADA;05/06/2020
NORDESTE;MARANHÃO;SMS;SÃO LUÍS;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;2.000;ENTREGA REALIZADA;30/06/2020
NORDESTE;MARANHÃO;SES;MARANHÃO ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;5.000;ENTREGA REALIZADA;13/04/2020
NORDESTE;MARANHÃO;SES;MARANHÃO ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;20.000;ENTREGA REALIZADA;11/05/2020
NORDESTE;MARANHÃO;SES;MARANHÃO ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;1.000;ENTREGA REALIZADA;23/03/2020
NORDESTE;MARANHÃO;SES;MARANHÃO ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;5.000;ENTREGA REALIZADA;13/04/2020
NORDESTE;MARANHÃO;SMS;SÃO LUÍS;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;1.000;ENTREGA REALIZADA;01/07/2020
NORDESTE;MARANHÃO;SES;MARANHÃO ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;2.000;ENTREGA REALIZADA;30/06/2020
NORDESTE;MARANHÃO;SES;MARANHÃO ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;1.070;ENTREGA REALIZADA;20/01/2020
NORDESTE;MARANHÃO;SES;MARANHÃO ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;1.500;ENTREGA REALIZADA;23/03/2020
NORDESTE;MARANHÃO;SES;MARANHÃO ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;5.000;ENTREGA REALIZADA;13/04/2020
NORDESTE;MARANHÃO;SES;MARANHÃO ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;5.000;ENTREGA REALIZADA;11/05/2020
NORDESTE;MARANHÃO;SES;MARANHÃO ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;4.000;ENTREGA REALIZADA;30/06/2020
NORDESTE;MARANHÃO;SES;MARANHÃO ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;1.500;ENTREGA REALIZADA;12/08/2020
NORDESTE;MARANHÃO;SES;MARANHÃO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2.000;ENTREGA REALIZADA;27/03/2020
NORDESTE;MARANHÃO;SES;MARANHÃO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;16.000;ENTREGA REALIZADA;27/04/2020
NORDESTE;MARANHÃO;SES;MARANHÃO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;80.000;ENTREGA REALIZADA;04/05/2020
NORDESTE;MARANHÃO;SES;MARANHÃO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;180.000;ENTREGA REALIZADA;12/06/2020
CENTRO-OESTE;MATO GROSSO ;SAÚDE INDÍGENA;DSEI XINGU ;FOSFATO DE OSELTAMIVIR 30MG;INFLUENZA;1.000;ENTREGA REALIZADA;12/08/2020
CENTRO-OESTE;MATO GROSSO ;SAÚDE INDÍGENA;DSEI XINGU ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;1.000;ENTREGA REALIZADA;12/08/2020
CENTRO-OESTE;MATO GROSSO ;SAÚDE INDÍGENA;DSEI XINGU ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;1.500;ENTREGA REALIZADA;12/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;CUIABÁ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;5.500;ENTREGA REALIZADA;25/06/2020
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;9.500;ENTREGA REALIZADA;26/06/2020
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;18.500;ENTREGA REALIZADA;20/01/2020
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;9.500;ENTREGA REALIZADA;23/03/2020
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;5.000;ENTREGA REALIZADA;30/04/2020
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;11.000;ENTREGA REALIZADA;20/01/2020
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;9.500;ENTREGA REALIZADA;23/03/2020
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;1.300;ENTREGA REALIZADA;20/01/2020
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;1.890;ENTREGA REALIZADA;23/03/2020
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;5.000;ENTREGA REALIZADA;14/04/2020
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;15.000;ENTREGA REALIZADA;04/08/2020
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;15.000;ENTREGA REALIZADA;04/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;CUIABÁ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;3.000;ENTREGA REALIZADA;06/08/2020
CENTRO-OESTE;MATO GROSSO ;SMS;CUIABÁ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;5.000;ENTREGA REALIZADA;06/08/2020
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;10.000;ENTREGA REALIZADA;22/07/2020
CENTRO-OESTE;MATO GROSSO ;SMS;CUIABÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;9.000;ENTREGA REALIZADA;23/07/2020
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;80.000;ENTREGA REALIZADA;29/07/2020
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;3.000;ENTREGA REALIZADA;29/03/2020
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;6.000;ENTREGA REALIZADA;24/04/2020
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;6.000;ENTREGA REALIZADA;04/05/2020
CENTRO-OESTE;MATO GROSSO ;SAÚDE INDÍGENA;DSEI XINGU ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;1.000;ENTREGA REALIZADA;24/04/2020
CENTRO-OESTE;MATO GROSSO ;SAÚDE INDÍGENA;DSEI XAVANTE ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;2.000;ENTREGA REALIZADA;29/04/2020
CENTRO-OESTE;MATO GROSSO ;SAÚDE INDÍGENA;DSEI XAVANTE ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;2.000;ENTREGA REALIZADA;24/02/2020
CENTRO-OESTE;MATO GROSSO ;SAÚDE INDÍGENA;DSEI XAVANTE ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;500;ENTREGA REALIZADA;24/04/2020
CENTRO-OESTE;MATO GROSSO ;SAÚDE INDÍGENA;DSEI ARAGUAIA;FOSFATO DE OSELTAMIVIR 30MG;INFLUENZA;1.500;ENTREGA REALIZADA;12/08/2020
CENTRO-OESTE;MATO GROSSO ;SAÚDE INDÍGENA;DSEI ARAGUAIA;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;1.500;ENTREGA REALIZADA;12/08/2020
CENTRO-OESTE;MATO GROSSO ;SAÚDE INDÍGENA;DSEI ARAGUAIA;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;13.500;ENTREGA REALIZADA;12/08/2020
CENTRO-OESTE;MATO GROSSO ;SAÚDE INDÍGENA;DSEI CUIABA;FOSFATO DE OSELTAMIVIR 30MG;INFLUENZA;500;ENTREGA REALIZADA ;06/08/2020
CENTRO-OESTE;MATO GROSSO ;SAÚDE INDÍGENA;DSEI CUIABA;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;500;ENTREGA REALIZADA ;06/08/2020
CENTRO-OESTE;MATO GROSSO ;SAÚDE INDÍGENA;DSEI CUIABA;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;1.500;ENTREGA REALIZADA ;06/08/2020
CENTRO-OESTE;MATO GROSSO ;SAÚDE INDÍGENA;DSEI XAVANTE ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;2.000;ENTREGA REALIZADA;29/06/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SMS;CAMPO GRANDE;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;10.000;ENTREGA REALIZADA;29/06/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SES;MATO GROSSO DO SUL ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;10.000;ENTREGA REALIZADA;29/06/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SMS;CAMPO GRANDE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;15.000;ENTREGA REALIZADA;21/07/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SES;MATO GROSSO DO SUL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;15.000;ENTREGA REALIZADA;21/07/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SMS;CAMPO GRANDE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;10.000;ENTREGA REALIZADA;07/07/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SES;MATO GROSSO DO SUL ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;5.000;ENTREGA REALIZADA;27/04/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SES;MATO GROSSO DO SUL ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;6.500;ENTREGA REALIZADA;22/01/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SES;MATO GROSSO DO SUL ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;8.000;ENTREGA REALIZADA;24/03/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SES;MATO GROSSO DO SUL ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;8.400;ENTREGA REALIZADA;22/01/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SES;MATO GROSSO DO SUL ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;10.340;ENTREGA REALIZADA;24/03/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SES;MATO GROSSO DO SUL ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;10.000;ENTREGA REALIZADA;02/04/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SES;MATO GROSSO DO SUL ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;80.000;ENTREGA REALIZADA;13/05/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SES;MATO GROSSO DO SUL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA;29/03/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SES;MATO GROSSO DO SUL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA;24/04/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SES;MATO GROSSO DO SUL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;6.000;ENTREGA REALIZADA;05/05/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SAÚDE INDÍGENA;DSEI MATO GROSSO DO SUL ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;5.500;ENTREGA REALIZADA;27/04/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SAÚDE INDÍGENA;DSEI MATO GROSSO DO SUL ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;7.000;ENTREGA REALIZADA;13/04/2020
CENTRO-OESTE;MATO GROSSO DO SUL;SAÚDE INDÍGENA;DSEI MATO GROSSO DO SUL ;FOSFATO DE OSELTAMIVIR 30MG ;INFLUENZA;5.000;ENTREGA REALIZADA;13/04/2020
CENTRO-OESTE;MATO GROSSO DO SUL ;SES;MATO GROSSO DO SUL ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;15.000;ENTREGA REALIZADA ;03/08/2020
CENTRO-OESTE;MATO GROSSO DO SUL ;SES;MATO GROSSO DO SUL ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;50.000;ENTREGA REALIZADA ;03/08/2020
CENTRO-OESTE;MATO GROSSO DO SUL ;SMS;CAMPO GRANDE;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;5.000;ENTREGA REALIZADA;06/08/2020
CENTRO-OESTE;MATO GROSSO DO SUL ;SMS;CAMPO GRANDE;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;50.000;ENTREGA REALIZADA;06/08/2020
CENTRO-OESTE;MATO GROSSO DO SUL ;SAÚDE INDÍGENA;DSEI MATO GROSSO DO SUL ;FOSFATO DE OSELTAMIVIR 30MG;INFLUENZA;3.000;ENTREGA REALIZADA;07/08/2020
CENTRO-OESTE;MATO GROSSO DO SUL ;SAÚDE INDÍGENA;DSEI MATO GROSSO DO SUL ;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;3.000;ENTREGA REALIZADA;07/08/2020
CENTRO-OESTE;MATO GROSSO DO SUL ;SAÚDE INDÍGENA;DSEI MATO GROSSO DO SUL ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;5.000;ENTREGA REALIZADA;07/08/2020
SUDESTE;MINAS GERAIS ;SMS;BELO HORIZONTE;FOSFATO DE OSELTAMIVIR 45MG;INFLUENZA;6.000;ENTREGA REALIZADA;06/08/2020
SUDESTE;MINAS GERAIS ;SMS;BELO HORIZONTE;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;84.000;ENTREGA REALIZADA;06/08/2020
SUDESTE;MINAS GERAIS ;SMS;BELO HORIZONTE ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;70.000;ENTREGA REALIZADA;25/06/2020
SUDESTE;MINAS GERAIS ;SES;MINAS GERAIS ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;233.000;ENTREGA REALIZADA;25/06/2020
SUDESTE;MINAS GERAIS ;SES;MINAS GERAIS ;FOSFATO DE OSELTAMIVIR 75MG;INFLUENZA;17.500;ENTREGA REALIZADA;21/01/2020
